NUM_SUB_KERNELS,SAMPLE_PER_STUDENT,NUM_STUDENTS,seed,pref_thresh,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
1,10,2308,30,10,YS,7130.0,2.8691453604540844,0,1,0,0,3252,416,0,0,27,6,970.9706494808197
1,10,2308,15,10,SD,6929.0,2.8539816220108243,115,0,10682,218,52135,541,11733,266,45473,451,103.58085894584656
1,10,2308,40,10,YS,7155.0,2.8917703159770753,0,1,0,0,3751,327,0,0,3,1,974.4932367801666
1,10,2308,5,10,SD,6916.0,2.8347443271992696,109,0,11135,246,51748,557,11703,293,45553,459,103.76075673103333
1,10,2308,23,10,RR,6973.0,2.778663208556597,35,0,922,42,16166,431,1064,62,10534,259,371.2857139110565
1,10,2308,15,10,YS,7134.999999999999,2.888692489583466,0,1,0,0,3654,323,0,0,4,4,965.660715341568
1,10,2308,5,10,YS,7129.0,2.8858220999560995,0,1,0,0,3067,364,0,0,6,4,970.8025035858154
1,10,2308,23,10,SD,6904.0,2.823733538561354,110,0,11072,230,51700,526,11776,263,44701,436,101.3910391330719
1,10,2308,31,10,RR,6951.0,2.78387019777686,41,0,547,35,14129,374,741,46,9359,208,520.1989877223969
1,10,2308,41,10,RR,6942.0,2.769663329300002,42,0,776,42,16404,447,934,59,11138,262,370.72420859336853
1,10,2308,23,10,YS,7152.0,2.887239091442277,0,1,0,0,3105,391,0,0,3,2,952.3165946006775
1,10,2308,16,10,RR,7023.0,2.8149113302334445,39,0,483,33,15394,434,638,46,10052,246,530.8281049728394
1,10,2308,6,10,RR,6956.0,2.775787127785124,42,0,406,30,14632,422,594,46,9185,246,377.9893171787262
1,10,2308,31,10,SD,6911.0,2.817640171131034,96,0,8019,214,41759,510,8605,255,36000,415,109.10345458984375
1,10,2308,41,10,SD,6919.0,2.84610715319125,116,0,9992,220,47992,514,10539,260,41358,426,100.42191123962402
1,10,2308,31,10,YS,7167.0,2.8852347328882124,0,1,0,0,3736,333,0,0,16,6,970.5443773269653
1,10,2308,41,10,YS,7126.0,2.8757506528149235,0,1,0,0,3114,393,1,1,56,11,955.7204804420471
1,10,2308,16,10,SD,6971.0,2.844680796479647,98,0,10787,221,49893,526,11598,267,43176,446,103.34812211990356
1,10,2308,6,10,SD,6893.0,2.809355114108431,104,0,8651,229,45768,531,9514,272,39758,452,103.48819899559021
1,10,2308,24,10,RR,6931.0,2.751330237840368,40,0,910,44,14925,425,1011,57,10014,254,368.06557846069336
1,10,2308,16,10,YS,7156.0,2.8960847383954285,0,1,0,0,3282,354,2,1,20,2,964.1640207767487
1,10,2308,6,10,YS,7154.0,2.8823046914048898,0,1,0,0,3036,363,0,0,6,4,981.1254196166992
1,10,2308,24,10,SD,6859.0,2.806930854495667,113,0,9950,220,49489,519,10635,263,42630,431,99.71667337417603
1,10,2308,32,10,RR,6991.0,2.7927507120116495,39,0,622,39,14115,422,719,48,9108,246,374.2248959541321
1,10,2308,42,10,RR,6952.999999999999,2.7714065651189363,43,0,771,52,17028,463,863,70,11044,279,379.7256853580475
1,10,2308,24,10,YS,7122.0,2.8621408023069663,0,1,0,0,2751,394,5,2,39,8,958.7188160419464
1,10,2308,17,10,RR,6962.0,2.779206372515042,38,0,772,38,14844,443,920,51,9356,244,534.4255738258362
1,10,2308,32,10,SD,6926.000000000001,2.8459856790340408,111,0,10421,214,48706,530,11666,256,42041,433,156.03815484046936
1,10,2308,7,10,RR,6998.0,2.787438388471579,36,0,574,38,16004,461,805,57,10305,259,383.3901526927948
1,10,2308,42,10,SD,6879.0,2.8158785961272996,112,0,10341,222,50588,528,11262,268,43530,430,102.31510210037231
1,10,2308,32,10,YS,7159.0,2.889197011383393,0,1,0,0,3236,365,0,0,6,3,1018.9337973594666
1,10,2308,42,10,YS,7145.0,2.8806964140240967,0,1,0,0,2962,379,0,0,6,4,977.3605272769928
1,10,2308,17,10,SD,6893.0,2.8365820672729094,118,0,10863,229,52423,515,11883,268,45272,422,104.85795569419861
1,10,2308,25,10,RR,7020.0,2.803543272125378,39,0,854,47,17651,451,1113,72,11910,285,374.12801456451416
1,10,2308,7,10,SD,6925.0,2.829923577800257,112,0,13998,245,59552,555,15274,290,51951,477,104.26960444450378
1,10,2308,17,10,YS,7147.0,2.8795469438736427,0,1,0,0,3331,374,0,0,19,4,987.508139371872
1,10,2308,7,10,YS,7130.999999999999,2.886124923518384,0,1,0,0,3397,368,0,0,10,3,975.6285767555237
1,10,2308,25,10,SD,6960.0,2.8497341907026863,103,0,10334,222,50021,539,11296,274,43228,432,103.01120448112488
1,10,2308,33,10,RR,6998.0,2.7880722557158952,41,0,709,47,15494,447,911,68,9827,270,517.3204863071442
1,10,2308,43,10,RR,6982.0,2.762192812471012,33,0,542,32,13995,406,782,50,9279,224,375.5375998020172
1,10,2308,25,10,YS,7137.0,2.8899203562289806,0,1,0,0,4141,326,0,0,0,0,953.9562718868256
1,10,2308,33,10,SD,6938.0,2.8403815220541215,114,0,9888,230,48080,538,10491,278,41215,446,111.57006478309631
1,10,2308,18,10,RR,6939.0,2.7622508563621797,38,0,653,51,15374,441,827,69,9931,247,514.9357659816742
1,10,2308,43,10,SD,6905.0,2.8144198037651194,104,0,8315,200,44043,508,8789,236,37962,417,101.40975522994995
1,10,2308,8,10,RR,6970.0,2.7844872800411595,41,0,705,49,15468,461,821,68,10221,267,380.02010846138
1,10,2308,33,10,YS,7174.0,2.8865805976495773,0,1,0,0,3106,411,0,0,20,9,975.3861749172211
