NUM_STUDENTS,pref_thresh,seed,alg,seats,nash,zeros,min_val,PMMS_violations,PMMS_agents,EF_violations,EF_agents,EF1_violations,EF1_agents,EFX_violations,EFX_agents,runtime
471,10,13,SD,1403.0,2.8527084839423003,28,0,523,46,2633,111,623,54,2297,92,20.523446559906006
471,10,13,RR,1418.0,2.801405618993363,11,0,101,15,1062,75,106,19,774,50,78.41032648086548
471,10,13,ILP,1442.0,2.8255183520190537,15,0,141,23,1420,106,178,31,1148,81,2215.2157986164093
471,10,13,YS,1442.0,2.8538377549431484,0,1,0,0,248,51,0,0,0,0,192.71485686302185
471,10,14,SD,1416.0,2.8338588424857605,22,0,388,38,2209,105,484,49,1899,89,20.562860250473022
471,10,14,RR,1427.0,2.7617013909761305,6,0,35,5,631,67,45,10,395,43,79.87446141242981
471,10,14,ILP,1450.0,2.8623633221508187,19,0,225,33,1646,92,240,38,1400,76,2318.0166103839874
471,10,14,YS,1450.0,2.8639161987481963,0,1,0,0,250,47,0,0,0,0,197.71422362327576
471,10,15,SD,1412.0,2.8995920674518736,30,0,826,43,2993,101,870,50,2697,85,20.727149486541748
471,10,15,RR,1425.0,2.8060184409208047,9,0,79,16,1104,86,89,19,748,58,80.3393201828003
471,10,15,ILP,1458.0,2.8167427520297523,8,0,169,27,1315,95,192,35,1033,76,2270.537982940674
471,10,15,YS,1458.0,2.9002590781502144,0,1,0,0,192,60,0,0,0,0,198.0355088710785
471,10,16,SD,1399.0,2.7894403219649426,22,0,707,40,2888,101,766,44,2513,86,20.44941282272339
471,10,16,RR,1421.0,2.7848389856085074,7,0,36,6,861,80,87,12,517,44,79.4892475605011
471,10,16,ILP,1455.0,2.8238952071998815,14,0,237,31,1592,95,255,36,1328,78,2318.3705248832703
471,10,16,YS,1455.0,2.878913739454336,0,1,0,0,104,49,0,0,0,0,192.18831658363342
471,10,17,SD,1418.0,2.8458363686691115,22,0,594,46,2208,96,609,51,1977,86,20.0834219455719
471,10,17,RR,1434.0,2.828173248421122,9,0,37,9,755,72,63,13,532,47,79.12724804878235
471,10,17,ILP,1465.0,2.881583473955217,14,0,251,27,1495,79,258,29,1261,58,2313.6756188869476
471,10,17,YS,1465.0,2.9036509709330374,0,1,0,0,138,56,0,0,1,1,191.71048426628113
