NUM_STUDENTS,seed,alg,seats,nash,zeros,runtime
3000,0,RR,7177.999999999999,2.334321875256427,189,535.5074772834778
3000,0,SD,7165.0,2.461976110561577,434,330.06455087661743
3000,0,YS,7257.0,2.3736592180355016,109,2061.5301673412323
4000,0,RR,7292.0,1.8248524337510061,275,1409.535284280777
4000,0,SD,7279.0,2.215337247003044,1156,247.53242754936218
4000,0,YS,7340.0,1.806275628740061,109,1136.6401715278625
5000,0,RR,7383.999999999999,1.5078835234746504,398,588.897472858429
5000,0,SD,7367.0,2.066380058850739,1941,233.06937789916992
5000,0,YS,7389.0,1.4247748952068218,109,1298.7935876846313
6000,0,RR,7389.0,1.2821115483324244,561,685.2203550338745
6000,0,SD,7373.000000000001,1.9574939077143674,2783,297.49135971069336
6000,0,YS,7389.0,1.1927454635951609,109,1093.939635515213
7000,0,RR,7389.0,1.1441516822856732,813,727.1143569946289
7000,0,SD,7389.0,1.9139025112428973,3701,465.58879590034485
7000,0,YS,7389.0,1.061407638217345,196,1112.9059555530548
8000,0,RR,7389.0,1.0702291743017252,1270,769.6219375133514
8000,0,SD,7389.0,1.85310990502328,4601,315.170533657074
8000,0,YS,7389.0,1.0,611,1358.0502161979675
3000,1,RR,7168.000000000001,2.3173141480208574,175,564.8690102100372
3000,1,SD,7157.000000000001,2.4548859345344822,438,120.56352543830872
3000,1,YS,7235.0,2.3662518405225335,109,1375.4415936470032
10000,0,RR,7389.0,1.0131805874101076,2748,749.5789337158203
10000,0,SD,7389.0,1.8145778771515315,6529,590.2473502159119
10000,0,YS,7389.0,1.0,2611,2002.3611011505127
4000,1,RR,7300.0,1.8354880079572722,298,705.372713804245
4000,1,SD,7279.0,2.21657699845952,1162,332.5877661705017
4000,1,YS,7361.0,1.8095635960780803,109,1698.8518018722534
5000,1,RR,7355.0,1.4978063238076968,384,1058.9675588607788
5000,1,SD,7335.0,2.064963150752122,1962,260.9391417503357
5000,1,YS,7389.0,1.4247748952068218,109,1458.235923051834
6000,1,RR,7389.0,1.2830003990392647,565,870.0918591022491
6000,1,SD,7387.0,1.9828096916365396,2813,403.46378540992737
6000,1,YS,7389.0,1.1927454635951609,109,1149.2699563503265
3000,2,RR,7202.999999999999,2.346982891281525,186,917.1956038475037
3000,2,SD,7177.999999999999,2.4892208905813815,457,131.9460768699646
3000,2,YS,7251.999999999999,2.3776891907032707,109,1202.3240869045258
7000,1,RR,7389.0,1.1466100407136892,829,610.7533485889435
7000,1,SD,7389.0,1.8906058555759109,3677,303.2042407989502
7000,1,YS,7389.0,1.0619953632732784,201,1491.2405500411987
4000,2,RR,7317.0,1.8168649317427674,244,637.4515495300293
4000,2,SD,7292.0,2.196896884198611,1124,215.68282389640808
4000,2,YS,7368.0,1.8149051508984289,109,1372.146469116211
8000,1,RR,7389.0,1.0693832477661867,1263,771.9925363063812
8000,1,SD,7389.0,1.8651005783992853,4628,326.88682651519775
8000,1,YS,7389.0,1.0,611,1579.4723932743073
5000,2,RR,7389.0,1.503385195584792,374,674.8808650970459
5000,2,SD,7370.0,2.042292267683386,1904,292.1242485046387
5000,2,YS,7389.0,1.4247748952068218,109,1450.2324433326721
10000,1,RR,7389.0,1.0132792752032285,2749,1099.1627023220062
10000,1,SD,7389.0,1.8154873468386077,6544,626.7877712249756
10000,1,YS,7389.0,1.0,2611,1537.2793862819672
3000,3,RR,7169.000000000001,2.3231720897151975,180,714.8250076770782
3000,3,SD,7153.0,2.4695366897877222,443,300.98976731300354
3000,3,YS,7242.0,2.370934194669956,109,1177.022249698639
6000,2,RR,7389.0,1.2836871682654376,569,935.1718502044678
6000,2,SD,7383.0,1.9661266859265043,2800,239.29415917396545
6000,2,YS,7389.0,1.1927454635951609,109,1462.2484304904938
4000,3,RR,7305.0,1.8215138507553748,265,435.65170645713806
4000,3,SD,7271.0,2.191964374949342,1127,257.1106400489807
4000,3,YS,7351.0,1.8123627560417797,109,1687.7517595291138
