NUM_STUDENTS,seed,alg,seats,nash,zeros,runtime
4000,9,YS,7337.0,1.8086505588469122,109,1027.6795325279236
5000,8,RR,7373.0,1.5088918264108244,403,498.9879448413849
5000,8,SD,7349.0,2.035199204293437,1910,187.352792263031
5000,8,YS,7389.0,1.4247748952068218,109,1067.0671350955963
7000,7,RR,7389.0,1.1504875430734778,854,682.0587737560272
7000,7,SD,7389.0,1.8923681295446129,3673,561.8091187477112
7000,7,YS,7389.0,1.0624664008271476,205,1311.9314587116241
6000,8,RR,7389.0,1.2877380967705967,588,694.0251388549805
6000,8,SD,7388.0,2.0126843318768044,2861,220.7356185913086
6000,8,YS,7389.0,1.1927454635951609,109,1039.6404068470001
5000,9,RR,7367.0,1.5035574715688989,398,600.9021310806274
5000,9,SD,7348.0,2.0653680193881545,1942,197.46834135055542
5000,9,YS,7389.0,1.4247748952068218,109,1042.8907525539398
8000,7,RR,7389.0,1.0676986524515935,1249,708.8121054172516
8000,7,SD,7389.0,1.8449428374380668,4572,306.67086720466614
8000,7,YS,7389.0,1.0,611,1059.8196287155151
10000,6,RR,7389.0,1.0132792752032285,2749,612.2578251361847
10000,6,SD,7389.0,1.8163786942220437,6550,521.1850657463074
10000,6,YS,7389.0,1.0,2611,1098.2517292499542
7000,8,RR,7389.0,1.146147725290179,826,519.4897382259369
7000,8,SD,7389.0,1.9445910528752302,3746,248.948627948761
7000,8,YS,7389.0,1.0621130511179881,202,1149.4983386993408
6000,9,RR,7389.0,1.287698619317244,586,608.721809387207
6000,9,SD,7387.0,1.9571266479287794,2777,315.8073048591614
6000,9,YS,7389.0,1.1927454635951609,109,1105.3448684215546
8000,8,RR,7389.0,1.0732702720418061,1295,590.7946627140045
8000,8,SD,7389.0,1.8827979267117658,4655,278.22733521461487
8000,8,YS,7389.0,1.0,611,862.9335639476776
7000,9,RR,7389.0,1.1493973441022611,847,487.7611618041992
7000,9,SD,7389.0,1.9228339240157524,3724,252.31043910980225
7000,9,YS,7389.0,1.0616425855189275,198,939.0893473625183
10000,7,RR,7389.0,1.0145655763789205,2762,571.5129864215851
10000,7,SD,7389.0,1.7891630115735928,6486,347.2874493598938
10000,7,YS,7389.0,1.0,2611,1055.4301064014435
8000,9,RR,7389.0,1.075479340578067,1313,536.3203642368317
8000,9,SD,7389.0,1.8649579707460675,4617,304.1615352630615
8000,9,YS,7389.0,1.0,611,861.6879503726959
10000,8,RR,7389.0,1.0136743949852074,2753,574.2708818912506
10000,8,SD,7389.0,1.795770399165114,6501,347.20683431625366
10000,8,YS,7389.0,1.0,2611,947.5988426208496
10000,9,RR,7389.0,1.0119992001531657,2736,572.0869026184082
10000,9,SD,7389.0,1.7761623329852467,6460,345.55765748023987
10000,9,YS,7389.0,1.0,2611,948.6401271820068
